Level,Area_km2,Volume_million_m3
-238.36,66.168908,531.12673
-238.37,66.123974,530.44288
-238.38,66.079029,529.75948
-238.39,66.034075,529.07651
-238.4,65.989111,528.394
-238.41,65.944138,527.71192
-238.42,65.899155,527.03029
-238.43,65.854163,526.34911
-238.44,65.809161,525.66836
-238.45,65.764151,524.98807
-238.46,65.719131,524.30821
-238.47,65.674102,523.6288
-238.48,65.629064,522.94984
-238.49,65.584018,522.27132
-238.5,65.538963,521.59325
-238.51,65.493899,520.91562
-238.52,65.448826,520.23843
-238.53,65.403745,519.5617
-238.54,65.358656,518.8854
-238.55,65.313559,518.20956
-238.56,65.268453,517.53415
-238.57,65.223339,516.8592
-238.58,65.178218,516.18469
-238.59,65.133088,515.51063
-238.6,65.087951,514.83701
-238.61,65.042806,514.16384
-238.62,64.997653,513.49112
-238.63,64.952493,512.81884
-238.64,64.907325,512.14702
-238.65,64.86215,511.47563
-238.66,64.816968,510.8047
-238.67,64.771779,510.13421
-238.68,64.726583,509.46417
-238.69,64.68138,508.79458
-238.7,64.636169,508.12544
-238.71,64.590953,507.45674
-238.72,64.545729,506.7885
-238.73,64.500499,506.1207
-238.74,64.455262,505.45335
-238.75,64.410019,504.78644
-238.76,64.36477,504.11999
-238.77,64.319515,503.45399
-238.78,64.274253,502.78843
-238.79,64.228986,502.12333
-238.8,64.183712,501.45867
-238.81,64.138433,500.79446
-238.82,64.093148,500.1307
-238.83,64.047857,499.4674
-238.84,64.002561,498.80454
-238.85,63.957259,498.14213
-238.86,63.911952,497.48017
-238.87,63.86664,496.81866
-238.88,63.821323,496.15761
-238.89,63.776,495.497
-238.9,63.730673,494.83684
-238.91,63.685341,494.17714
-238.92,63.640005,493.51789
-238.93,63.594665,492.85908
-238.94,63.549322,492.20073
-238.95,63.503977,491.54283
-238.96,63.45863,490.88538
-238.97,63.413281,490.22838
-238.98,63.367931,489.57183
-238.99,63.32258,488.91573
-239,63.277229,488.26009
-239.01,63.231878,487.6049
-239.02,63.186528,486.95015
-239.03,63.141179,486.29586
-239.04,63.095832,485.64202
-239.05,63.050487,484.98863
-239.06,63.005145,484.3357
-239.07,62.959805,483.68321
-239.08,62.91447,483.03118
-239.09,62.869138,482.3796
-239.1,62.823811,481.72847
-239.11,62.778489,481.07779
-239.12,62.733173,480.42756
-239.13,62.687862,479.77779
-239.14,62.642558,479.12846
-239.15,62.597261,478.47959
-239.16,62.551971,477.83117
-239.17,62.506689,477.18321
-239.18,62.461416,476.53569
-239.19,62.416151,475.88863
-239.2,62.370896,475.24202
-239.21,62.32565,474.59586
-239.22,62.280415,473.95016
-239.23,62.235191,473.30491
-239.24,62.189977,472.66011
-239.25,62.144776,472.01576
-239.26,62.099586,471.37186
-239.27,62.054409,470.72842
-239.28,62.009246,470.08543
-239.29,61.964096,469.44289
-239.3,61.91896,468.80081
-239.31,61.873838,468.15918
-239.32,61.828732,467.518
-239.33,61.783641,466.87727
-239.34,61.738566,466.237
-239.35,61.693507,465.59718
-239.36,61.648466,464.95781
-239.37,61.603442,464.3189
-239.38,61.558435,463.68044
-239.39,61.513448,463.04243
-239.4,61.468479,462.40488
-239.41,61.423529,461.76777
-239.42,61.378599,461.13113
-239.43,61.333689,460.49493
-239.44,61.2888,459.85919
-239.45,61.243933,459.22391
-239.46,61.199087,458.58907
-239.47,61.154263,457.95469
-239.48,61.109462,457.32077
-239.49,61.064684,456.68729
-239.5,61.019929,456.05427
-239.51,60.975199,455.42171
-239.52,60.930493,454.7896
-239.53,60.885813,454.15794
-239.54,60.841157,453.52674
-239.55,60.796528,452.89599
-239.56,60.751925,452.26569
-239.57,60.70735,451.63585
-239.58,60.662801,451.00646
-239.59,60.618281,450.37753
-239.6,60.573788,449.74905
-239.61,60.529325,449.12103
-239.62,60.484891,448.49346
-239.63,60.440487,447.86634
-239.64,60.396113,447.23968
-239.65,60.35177,446.61348
-239.66,60.307458,445.98772
-239.67,60.263178,445.36243
-239.68,60.21893,444.73758
-239.69,60.174715,444.11319
-239.7,60.130532,443.48926
-239.71,60.086384,442.86578
-239.72,60.042269,442.24276
-239.73,59.998189,441.62019
-239.74,59.954144,440.99808
-239.75,59.910135,440.37642
-239.76,59.866162,439.75521
-239.77,59.822225,439.13447
-239.78,59.778325,438.51417
-239.79,59.734462,437.89433
-239.8,59.690638,437.27495
-239.81,59.646851,436.65602
-239.82,59.603104,436.03755
-239.83,59.559396,435.41953
-239.84,59.515728,434.80197
-239.85,59.4721,434.18487
-239.86,59.428512,433.56822
-239.87,59.384966,432.95202
-239.88,59.341462,432.33628
-239.89,59.298,431.721
-239.9,59.25458,431.10617
-239.91,59.211203,430.4918
-239.92,59.167867,429.87788
-239.93,59.124571,429.26442
-239.94,59.081316,428.65141
-239.95,59.0381,428.03886
-239.96,58.994924,427.42675
-239.97,58.951785,426.8151
-239.98,58.908684,426.20391
-239.99,58.865621,425.59316
-240,58.822593,424.98287
-240.01,58.779602,424.37303
-240.02,58.736645,423.76363
-240.03,58.693723,423.15469
-240.04,58.650836,422.5462
-240.05,58.607981,421.93816
-240.06,58.565159,421.33056
-240.07,58.522369,420.72342
-240.08,58.47961,420.11672
-240.09,58.436882,419.51047
-240.1,58.394185,418.90467
-240.11,58.351517,418.29931
-240.12,58.308877,417.6944
-240.13,58.266267,417.08994
-240.14,58.223683,416.48592
-240.15,58.181127,415.88235
-240.16,58.138597,415.27922
-240.17,58.096093,414.67654
-240.18,58.053614,414.0743
-240.19,58.01116,413.4725
-240.2,57.968729,412.87115
-240.21,57.926322,412.27024
-240.22,57.883938,411.66977
-240.23,57.841575,411.06974
-240.24,57.799234,410.47015
-240.25,57.756914,409.87101
-240.26,57.714613,409.2723
-240.27,57.672333,408.67404
-240.28,57.630071,408.07621
-240.29,57.587827,407.47883
-240.3,57.545602,406.88188
-240.31,57.503393,406.28537
-240.32,57.4612,405.6893
-240.33,57.419024,405.09366
-240.34,57.376862,404.49846
-240.35,57.334715,403.9037
-240.36,57.292582,403.30938
-240.37,57.250462,402.71549
-240.38,57.208355,402.12204
-240.39,57.16626,401.52902
-240.4,57.124176,400.93643
-240.41,57.082103,400.34428
-240.42,57.04004,399.75256
-240.43,56.997987,399.16128
-240.44,56.955942,398.57043
-240.45,56.913906,397.98001
-240.46,56.871877,397.39002
-240.47,56.829856,396.80047
-240.48,56.787841,396.21134
-240.49,56.745831,395.62265
-240.5,56.703827,395.03438
-240.51,56.661827,394.44655
-240.52,56.619831,393.85914
-240.53,56.577839,393.27216
-240.54,56.535849,392.68562
-240.55,56.493861,392.0995
-240.56,56.451874,391.5138
-240.57,56.409888,390.92854
-240.58,56.367903,390.3437
-240.59,56.325916,389.75929
-240.6,56.283929,389.1753
-240.61,56.24194,388.59174
-240.62,56.199949,388.0086
-240.63,56.157954,387.42589
-240.64,56.115956,386.8436
-240.65,56.073954,386.26174
-240.66,56.031947,385.6803
-240.67,55.989934,385.09928
-240.68,55.947915,384.51868
-240.69,55.90589,383.93851
-240.7,55.863857,383.35876
-240.71,55.821816,382.77943
-240.72,55.779767,382.20052
-240.73,55.737708,381.62203
